Terminate,All
"Minister of Buddhasassana, Religious and Cultural Affairs",National Performing Arts Theatre (Nelum Pokuna)
"Minister of Buddhasassana, Religious and Cultural Affairs",Mahinda Rajapaksa National Tele Cinema Park
"Minister of Buddhasassana, Religious and Cultural Affairs",“Ape Gama”
"Minister of Buddhasassana, Religious and Cultural Affairs",Amaradeva Aesthetic and Research Center
"Minister of Buddhasassana, Religious and Cultural Affairs",J.R. Jayewardene Centre
"Minister of Buddhasassana, Religious and Cultural Affairs",S W R D Bandaranaike National Memorial Foundation
"Minister of Buddhasassana, Religious and Cultural Affairs",National Film Corporation
"Minister of Buddhasassana, Religious and Cultural Affairs",National Library and Documentation Services Board
"Minister of Buddhasassana, Religious and Cultural Affairs",Selacine Media Solutions (Pvt) Ltd
"Minister of Buddhasassana, Religious and Cultural Affairs",Public Performance Board
"Minister of Transport, Highways, Ports and Civil Aviation",Road Development Authority and its subsidiaries and affiliates
"Minister of Transport, Highways, Ports and Civil Aviation",Maga Neguma
"Minister of Transport, Highways, Ports and Civil Aviation",State Development and Construction Corporation
"Minister of Transport, Highways, Ports and Civil Aviation",National Transport Commission
"Minister of Transport, Highways, Ports and Civil Aviation",National Council for Road Safety
"Minister of Transport, Highways, Ports and Civil Aviation",Department of Sri Lanka Railways
"Minister of Transport, Highways, Ports and Civil Aviation",Ladkiva Engineering (Pvt) Ltd
"Minister of Transport, Highways, Ports and Civil Aviation",Sri Lanka Transport Board
"Minister of Transport, Highways, Ports and Civil Aviation",National Transport Medical Institute
"Minister of Transport, Highways, Ports and Civil Aviation",Department of Motor Traffic
"Minister of Transport, Highways, Ports and Civil Aviation",Sahasya Investment Ltd
"Minister of Transport, Highways, Ports and Civil Aviation",Sri Lanka Ports Authority and its Subsidiaries and Associates
"Minister of Transport, Highways, Ports and Civil Aviation",Ceylon Shipping Corporation Ltd
"Minister of Transport, Highways, Ports and Civil Aviation",Merchant Shipping Secretariat
"Minister of Transport, Highways, Ports and Civil Aviation",Civil Aviation Authority of Sri Lanka
"Minister of Transport, Highways, Ports and Civil Aviation",Airport and Aviation Services (Sri Lanka) Ltd
Minister of Public Security and Parliamentary Affairs,Sri Lanka Police
Minister of Public Security and Parliamentary Affairs,National Police Academy
Minister of Public Security and Parliamentary Affairs,Department of Immigration and Emigration
Minister of Public Security and Parliamentary Affairs,National Dangerous Drugs Control Board
Minister of Public Security and Parliamentary Affairs,National Secretariat for Non-Governmental Organization
"Minister of Foreign Affairs, Foreign Employment and Tourism",Diplomatic Missions in abroad
"Minister of Foreign Affairs, Foreign Employment and Tourism",National Oceanic Affairs Committee Secretariat
"Minister of Foreign Affairs, Foreign Employment and Tourism",Lakshman Kadirgamar Institute for International Relations and Strategic Studies
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Foreign Employment Bureau
"Minister of Foreign Affairs, Foreign Employment and Tourism",Foreign Employment Agency of Sri Lanka (Pvt.) Ltd
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Tourism Promotion Bureau
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Tourism Development Authority
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Institute of Tourism and Hotel Management
"Minister of Foreign Affairs, Foreign Employment and Tourism",Sri Lanka Convention Bureau
Minister of Environment,Central Environmental Authority
Minister of Environment,Geological Survey and Mines Bureau
Minister of Environment,GSMB Technical Services (Pvt) Ltd.
Minister of Environment,Sri Lanka Climate Fund (Pvt) Ltd
Minister of Environment,Marine Environment Protection Authority
Minister of Environment,Department of Coast Conservation and Coastal Resource Management
Minister of Environment,Department of Forest Conservation
Minister of Environment,Department of Wildlife Conservation
Minister of Environment,Department of National Zoological Gardens
Minister of Environment,State Timber Corporation
Minister of Environment,Water Resources Board
Minister of Environment,Department of National Botanic Gardens
"Minister of Urban Development, Construction and Housing",Urban Development Authority
"Minister of Urban Development, Construction and Housing",Urban Settlement Development Authority
"Minister of Urban Development, Construction and Housing",Selendiva Investments Limited
"Minister of Urban Development, Construction and Housing",Hotel Developers (Lanka) PLC (PQ 143)
"Minister of Urban Development, Construction and Housing",National Physical Planning Department
"Minister of Urban Development, Construction and Housing",Condominium Management Authority (Common Amenities Board)
"Minister of Urban Development, Construction and Housing",Sri Lanka Land Development Corporation and its subsidiaries and related institutions
"Minister of Urban Development, Construction and Housing",National Housing Development Authority
"Minister of Urban Development, Construction and Housing",Building Material Corporation Limited
"Minister of Urban Development, Construction and Housing",Department of Buildings
"Minister of Urban Development, Construction and Housing",Department of Government Factories
"Minister of Urban Development, Construction and Housing",Construction Industry Development Authority
"Minister of Urban Development, Construction and Housing",Ocean View Development (Pvt) Ltd.
"Minister of Urban Development, Construction and Housing",State Engineering Corporation
"Minister of Urban Development, Construction and Housing",National Equipment and Machinery Organization
"Minister of Urban Development, Construction and Housing",National Water Supply and Drainage Board
"Minister of Urban Development, Construction and Housing",Department of Community Water Supply
"Minister of Urban Development, Construction and Housing",Engineering Council of Sri Lanka
"Minister of Urban Development, Construction and Housing",Colombo Lotus Tower Management Co. (Pvt.) Ltd
"Minister of Fisheries, Aquatic and Ocean Resources",Department of Fisheries and Aquatic Resources
"Minister of Fisheries, Aquatic and Ocean Resources",National Aquatic Resources Research and Development Agency
"Minister of Fisheries, Aquatic and Ocean Resources",National Aquaculture Development Authority
"Minister of Fisheries, Aquatic and Ocean Resources",Ceylon Fisheries Corporation
"Minister of Fisheries, Aquatic and Ocean Resources",Ceylon Fishery Harbours Corporation
"Minister of Fisheries, Aquatic and Ocean Resources",Cey-Nor Foundation Ltd
"Minister of Fisheries, Aquatic and Ocean Resources",North sea Ltd
"Minister of Public Administration, Provincial Councils and Local Government",Department of Pensions
"Minister of Public Administration, Provincial Councils and Local Government",Sri Lanka Institute of Development Administration
"Minister of Public Administration, Provincial Councils and Local Government",Distance Learning Centre Ltd.
"Minister of Public Administration, Provincial Councils and Local Government",National Human Resources Development Council of Sri Lanka
"Minister of Public Administration, Provincial Councils and Local Government",Public Service Pensioners’ Trust Fund
"Minister of Public Administration, Provincial Councils and Local Government",Local Government Service Pension Fund
"Minister of Public Administration, Provincial Councils and Local Government",Local Government Widows’ and Orphans’ Pension Fund
"Minister of Public Administration, Provincial Councils and Local Government",Local Government Widowers’ and Orphans’ Pension Fund
"Minister of Public Administration, Provincial Councils and Local Government",All District Secretariats and Divisional Secretariats
"Minister of Public Administration, Provincial Councils and Local Government",Department of Registrar General
"Minister of Public Administration, Provincial Councils and Local Government",Sri Lanka Institute of Local Government
"Minister of Public Administration, Provincial Councils and Local Government",Local Loans and Development Fund
Minister of Labour,Department of Labour
Minister of Labour,National Institute of Labour Studies
Minister of Labour,National Institute for Occupational Safety and Health
Minister of Labour,Office of the Commissioner of Workmen’s Compensation
Minister of Labour,Shrama Vasana Fund
Minister of Labour,Department of Manpower and Employment
Minister of Science and Technology,National Institute of Fundamental Studies
Minister of Science and Technology,Sri Lanka Inventors' Commission
Minister of Science and Technology,National Engineering Research and Development Centre
Minister of Science and Technology,National Research Council of Sri Lanka
Minister of Science and Technology,National Science Foundation
Minister of Science and Technology,Planetarium of Sri Lanka
Minister of Science and Technology,Arthur C. Clarke Institute for Modern Technologies
Minister of Science and Technology,National Innovation Agency
Minister of Science and Technology,Sri Lanka Inventors Fund
Minister of Science and Technology,National Science and Technology Commission
Minister of Science and Technology,Sri Lanka Institute of Nanotechnology (Pvt) Ltd.
Minister of Science and Technology,Sri Lanka Institute of Biotechnology (Pvt) Ltd.
Minister of Science and Technology,Vidatha Centres
Minister of Science and Technology,Industrial Technology Institute
Minister of Science and Technology,Sri Lanka Standards Institute
Minister of Science and Technology,Centre of Excellence for Robotic Applications
"Minister of Rural Development, Social Security, and Community Empowerment",Department of Samurdhi Development
"Minister of Rural Development, Social Security, and Community Empowerment",Saubhagya Development Bureau
"Minister of Rural Development, Social Security, and Community Empowerment",National Institute of Social Development
"Minister of Rural Development, Social Security, and Community Empowerment",Rural Development Training and Research Institute
"Minister of Rural Development, Social Security, and Community Empowerment",Social Security Board
"Minister of Rural Development, Social Security, and Community Empowerment",National Council for Persons with Disabilities
"Minister of Rural Development, Social Security, and Community Empowerment",National Secretariat for Persons with Disabilities
"Minister of Rural Development, Social Security, and Community Empowerment",Department of Social Services
"Minister of Rural Development, Social Security, and Community Empowerment",National Council for Elders and National Secretariat for Elders
"Minister of Rural Development, Social Security, and Community Empowerment",Kidney Fund
Minister of Industry and Entrepreneurship Development,Ceylon Industrial Development Board
Minister of Industry and Entrepreneurship Development,Lanka Leyland (Pvt) Ltd.
Minister of Industry and Entrepreneurship Development,National Paper Corporation Ltd.
Minister of Industry and Entrepreneurship Development,Lanka Cement Ltd
Minister of Industry and Entrepreneurship Development,Kahatagaha Graphite Lanka Ltd
Minister of Industry and Entrepreneurship Development,Ceylon Ceramics Corporation (Brick and Tiles Division)
Minister of Industry and Entrepreneurship Development,National Enterprise Development Authority
Minister of Industry and Entrepreneurship Development,Lanka Mineral Sands Company
Minister of Industry and Entrepreneurship Development,Small and Medium Enterprises Venture Capital Company
Minister of Industry and Entrepreneurship Development,Small and Medium Enterprises Authority
Minister of Industry and Entrepreneurship Development,Timber-related Design Centre
Minister of Industry and Entrepreneurship Development,National Crafts Council
Minister of Industry and Entrepreneurship Development,Department of Textile Industries
Minister of Industry and Entrepreneurship Development,Kahagolla Engineering Services Company Ltd. (KESCO)
Minister of Industry and Entrepreneurship Development,Sri Lanka Institute of Textile and Apparels
Minister of Industry and Entrepreneurship Development,Lanka Textile Mills Emporium Ltd.
Minister of Industry and Entrepreneurship Development,Lanka Salusala Ltd
Minister of Industry and Entrepreneurship Development,Sri Lanka Handicraft Board (Laksala)
Minister of Industry and Entrepreneurship Development,National Design Centre
Minister of Industry and Entrepreneurship Development,National Gem and Jewellery Authority
Minister of Industry and Entrepreneurship Development,Gem and Jewellery Research and Training Institute
Minister of Industry and Entrepreneurship Development,Lanka Phosphate Limited
Minister of Industry and Entrepreneurship Development,National Salt Limited
Minister of Industry and Entrepreneurship Development,Sri Lanka Cement Corporation
Minister of Industry and Entrepreneurship Development,Paranthan Chemicals Ltd
Minister of Industry and Entrepreneurship Development,BCC Lanka Limited
Minister of Industry and Entrepreneurship Development,Hingurana Sugar Industry Ltd.
Minister of Industry and Entrepreneurship Development,Lanka Sugar Company (Pvt) Ltd.
Minister of Industry and Entrepreneurship Development,Kantale Sugar Company Ltd
Minister of Industry and Entrepreneurship Development,Galoya Plantation (Pvt) Company
Minister of Industry and Entrepreneurship Development,Sugar Cane Research Institute
Minister of Industry and Entrepreneurship Development,National Productivity Secretariat
Minister of Industry and Entrepreneurship Development,Small Enterprise Development Division
Minister of Industry and Entrepreneurship Development,Sri Lanka Export Development Board
Minister of Digital Economy,Sri Lanka Telecom and its Subsidiaries and Allied Institutions
Minister of Digital Economy,Information and Communication Technology Agency and Allied Institutions
Minister of Digital Economy,Sri Lanka Computer Emergency Readiness Team
Minister of Digital Economy,Data Protection Authority of Sri Lanka
Minister of Digital Economy,Information Technology Parks
Minister of Digital Economy,Department of Registration of Person
