Terminate,All
Minister of Plantation Industries and Export Agriculture, Kalubovitiyana Tea Factory Ltd
Minister of Plantation Industries and Export Agriculture, Janatha Estate Development Board
Minister of Plantation Industries and Export Agriculture, Sri Lanka State Plantation Corporation
Minister of Plantation Industries and Export Agriculture, Elkaduwa Plantation Company Ltd
Minister of Plantation Industries and Export Agriculture, Kurunegala Plantation Company Ltd
Minister of Plantation Industries and Export Agriculture, Chilaw Plantation Company Ltd
Minister of Plantation Industries and Export Agriculture, Galoya Plantation (Pvt) Company
Minister of Plantation Industries and Export Agriculture, Department of Rubber Development
Minister of Plantation Industries and Export Agriculture, Thurusaviya Fund
Minister of Plantation Industries and Export Agriculture, Rubber Research Institute
Minister of Plantation Industries and Export Agriculture, Sri Lanka Rubber Manufacturing and Export Corporation
Minister of Plantation Industries and Export Agriculture, Coconut Cultivation Board
Minister of Plantation Industries and Export Agriculture, Coconut Development Authority
Minister of Plantation Industries and Export Agriculture, Coconut Research Institute
Minister of Plantation Industries and Export Agriculture, Kapruka Fund
Minister of Plantation Industries and Export Agriculture, Sri Lanka Cashew Corporation
Minister of Plantation Industries and Export Agriculture, Hingurana Sugar Industry Ltd
Minister of Plantation Industries and Export Agriculture, Ceylon Sugar (Pvt ) Ltd
Minister of Plantation Industries and Export Agriculture, Kantale Sugar Company Ltd
Minister of Plantation Industries and Export Agriculture, Sugar Cane Research Institute
Minister of Plantation Industries and Export Agriculture, Department of Export Agriculture
Minister of Plantation Industries and Export Agriculture, Spices and Allied Products Marketing Board
Minister of  Industrial Export and Investment Promotion," Assets vested to the Secretary to the Treasury, under the Act, No 43 of 2011"
Minister of  Industrial Export and Investment Promotion, Sri Lanka Export Development Board
Minister of Tourism and Civil  Aviation,Sri Lanka Tourism Promotion Bureau
Minister of Tourism and Civil  Aviation, Sri Lanka Tourism Development Authority
Minister of Tourism and Civil  Aviation, Sri Lanka Institute of  Tourism and Hotel Management
Minister of Tourism and Civil  Aviation, Sri Lanka Exhibition and Convention Bureau
Minister of Tourism and Civil  Aviation, Civil Aviation Authority
Minister of Tourism and Civil  Aviation, Airport and Aviation Services (Sri Lanka) Ltd
Minister of Tourism and Civil  Aviation, Sri Lankan Air Line Limited and its subsidiaries
